void_id,void_index,redshift,radius_hmpc_assumed,center_dist_hmpc,x_over_Rv,valid_shell_samples,center_delta_gstar,shell_delta_mean,shell_delta_median,shell_delta_p84,monopole_outflow_kms,raw_mean_outflow_kms,dipole_rms_kms,quadrupole_rms_kms,residual_rms_kms,outer_delta_2p5R,void_class,low_quadrupole_shear
19380.0,1,0.04614,5.17,137.0163282115194,2.0,256,-0.00018230471153343232,-0.08910939426889702,-0.40882912431947427,0.4242279276482901,5.485576260265221,5.496007712129227,115.36004205016293,41.625481537497684,24.651880461620916,-0.17398912003086425,void_in_void,False
19380.0,1,0.04614,5.17,137.0163282115194,2.5,256,-0.00018230471153343232,-0.17398912003086425,-0.4677134149379829,0.3549860845188853,15.569354866453228,15.575536802220462,138.91154930661068,31.80544813346168,23.69590727604934,-0.17398912003086425,void_in_void,True
17841.0,2,0.04583,5.05,136.1045822672061,0.8,256,1.948606434415293,1.6702499829282231,1.6223923781743301,2.2925832849441754,-102.36861012760728,-102.35708934813508,31.638245956267006,34.51569115324991,11.072244161567253,0.369125842197327,void_in_cloud_or_compensated,True
17841.0,2,0.04583,5.05,136.1045822672061,1.0,256,1.948606434415293,1.5347876033572243,1.473640178516741,2.161597097265202,-121.74872534114903,-121.73720357157484,43.94259333553908,38.60672700863043,15.204405019322438,0.369125842197327,void_in_cloud_or_compensated,False
17841.0,2,0.04583,5.05,136.1045822672061,1.25,256,1.948606434415293,1.3495236486107174,1.2613416604328551,2.1220940592170785,-141.0652683628654,-141.0556502047644,57.389485940007084,42.1626275675349,19.744879423040434,0.369125842197327,void_in_cloud_or_compensated,False
17841.0,2,0.04583,5.05,136.1045822672061,1.5507603954646239,256,1.948606434415293,1.116268143600037,1.0137140390959565,1.8940164253216827,-156.87945446712916,-156.87446955725358,69.09367043372812,45.628070601066035,22.845258666167766,0.369125842197327,void_in_cloud_or_compensated,False
17841.0,2,0.04583,5.05,136.1045822672061,2.0,256,1.948606434415293,0.7524070485518135,0.6178036143668735,1.402764829808029,-165.08904686320497,-165.09291295247854,78.96779203531432,50.53531015832048,23.23418267000697,0.369125842197327,void_in_cloud_or_compensated,False
17841.0,2,0.04583,5.05,136.1045822672061,2.5,256,1.948606434415293,0.369125842197327,0.13543800256739585,0.9540074546282308,-152.79280928312866,-152.80315815087081,86.90088982246778,47.756287056037046,22.65412923511868,0.369125842197327,void_in_cloud_or_compensated,False
7803.0,3,0.02935,5.57,87.46200332440876,0.8,256,0.5306700587178388,0.26930421419008194,0.18140281636070762,0.6440926092004662,-23.3413126785794,-23.32499686455748,18.663207220253028,47.70827534330002,8.247902583767024,-0.014094187179231443,void_in_void,False
7803.0,3,0.02935,5.57,87.46200332440876,1.0,256,0.5306700587178388,0.16350839010337415,0.10300725167995475,0.5362018264296228,-23.183806113318262,-23.16394611453759,25.546502702075266,56.09660070674752,11.59892388924343,-0.014094187179231443,void_in_void,False
7803.0,3,0.02935,5.57,87.46200332440876,1.25,256,0.5306700587178388,0.056325218906727675,-0.03536728587494739,0.3767552194599161,-19.751795080568353,-19.728761306276894,33.549043486461315,63.8946550016116,15.517717755427821,-0.014094187179231443,void_in_void,False
7803.0,3,0.02935,5.57,87.46200332440876,1.5507603954646239,256,0.5306700587178388,-0.02056659004406977,-0.15132443275102195,0.3548007480819907,-13.450445624319508,-13.426075103628717,43.147935257962565,68.17356275242702,18.615182075789505,-0.014094187179231443,void_in_void,False
